,productId,Title,userId,Helpfulness,Score,Time,Text,Cat1,Cat2,Cat3,tokens,keyatm_label,Accuracy
10032,B000256E1C,Coralife 77071 6X Turbo Twist UV Sterilizer,A2AYYFTOXH4JGU,2/2,5.0,1183593600,"Great product, well worth the money. Set up is quick and painless, minor plumbing (tubing) modifications needed to make it work with my Eheim Ecco filter. My Corals look very happy and I am too.",pet supplies,fish aquatic pets,pumps filters,35,health personal care,False
36255,B000KBLKL2,Carex Bed Buddy,A2TEJVPVNK8PF3,1/1,2.0,1330041600,"This body wrap has an unpleasant and cheap outer fabric. Who knows what is in the inside....some little polymer beads, I believe. I have had far better wraps in the past. I will be sending this back. There should be more product info on line and on the box. I wouldn't have purchased it had I known it was entirely synthetic with a kind of brushed nylon fabric (the kind that catches the smallest rough area on a fingernail.) I am looking for a barley or rice filled wrap, as I have had in the past. They last a long time and seem to be a superior product.",health personal care,health care,pain relievers,108,pet supplies,False
26312,B000HLH7ZS,Zum Wash Natural,A20CVMVWLGAWMI,1/1,5.0,1291680000,"I am disappointed with all the chemical antibacterial hysteria and am glad to have found a good liquid soap product with a great scent. I also love their grapefruit and rosemary mint scents, I haven't tried any of the others.",beauty,bath body,cleansers,40,beauty,True
11907,B000PC4IA6,Educo My First Kitchen,A1865HQK60NB5K,1/1,4.0,1198627200,"This is an excellent toy for my 2.5 year old daughter! It was a Christmas gift, and she still has gifts to unwrap because she has been ""cooking"" non-stop since it was opened. It fits nicely on top of a table, as it is rather small. I love the wood construction, and my daughter likes all of the accessories that come with the set (salt, pepper, food, utensils, etc.) Everything is just the right size for her little hands. I am very happy with this purchase and would recommend this kitchen set to anyone with a little cook in their life.",toys games,dress up pretend play,pretend play,101,toys games,True
5793,B0006JKE7O,Fisher Price Magical Sound N Lights Mirror,A2FYCP9STM8Q92,0/0,5.0,1138233600,"I absolutely love this mirror. It definitely captures her attention when she starts fussing. The lights aren't as visible during daylight hours, but that's to be expected. We just took a trip and it was hugely helpful and I love the size of the mirror. I can see her very well and she can see herself too. I had purchased a regular mirror - (SafeFit) which serves it's purpose, but for a few extra dollars this one works for her and me :) You won't be dissapointed. I also love that the music stays on.",toys games,baby toddler toys,mirrors,95,pet supplies,False
358,B00004NKKL,Wooden Construction 9-piece Peg Puzzle,A1IKCSS32AJGKS,4/4,4.0,978220800,"This is a nice puzzle, but I perfer the Jumbo Knob Puzzle Farm. The Jumbo Knob Puzzle has a knob instead of a peg and it is easier for little children to grasp.This puzzle will do just fine though, .... The edges are smooth and the base of the puzzle is thick enough that it is not going to break.",toys games,puzzles,pegged puzzles,60,toys games,True
25077,B000F08KCU,Lee Kum Kee Black bean garlic sauce - 8 oz,A1PFXI451JSSGU,0/3,1.0,1285200000,"We are diehard stirfry fans and enjoy all types of cultural foods. If it's different and has lots of veggies and a bit of good meat or seafood, we love it. This sauce is the exception. We could hardly eat a few bites. What a waste of a bunch of wonderful ingredients like scallops and fresh vegetables. The sauce is incredibly bitter and salty.",grocery gourmet food,sauces dips,sauces,64,grocery gourmet food,True
6038,B00000J3LN,Lullaby and Goodnight by Pockets of Learning,A3IW2IHM6LHZC1,0/1,3.0,1141084800,"This book is very cute, and despite other comments I found it to be well made. My son is not real interested though but maybe he will later on. I just think that it doesn't have enough pages and interactivity for the price you are paying.",toys games,baby toddler toys,unknown,46,toys games,True
12447,B0009MFUOA,Philips Norelco 8140XL SpeedXL Men's Shaver,A3B4QM00D6DQTC,0/0,5.0,1200528000,bought this and it is quiet and works great holds a charge. Then the clip holding it broke. Got a new head replacement from seller and great service. All in all I am very happy about this purchase...,health personal care,personal care,shaving hair removal,38,health personal care,True
33636,B000JSLYSU,"Cadbury Flake Chocolate Bars, 6-Count",A2JOCP583EBKC8,5/5,1.0,1322265600,"i was so excited to order this candy as i havent had any for 23 yrs...when i was last in germany....and to my horror..this candy tasted like it had been saved for that period of time.....it was so stale....i was very disappointed. i love cadbury candy....but for the cost, this was not worth it.....guess i'll have to wait till i go overseas again.",grocery gourmet food,candy chocolate,bars,63,grocery gourmet food,True
20476,B000E0KN5I,Graco Ultra Clear 49MHZ Baby Monitor,A2SR7QCSJ5Y6UX,1/1,5.0,1257465600,"I got this monitor after reading the reviews. It works great for us! We have one receiver in the downstairs bathroom (so I can hear if he wakes up while I'm in the shower) and one in our bedroom. Never have static on either one, always very clear. In fact, I can hear him just fine with it on the very lowest volume setting.",baby products,safety,monitors,64,pet supplies,False
24770,B0002V82OI,Killer Bunnies Violet Booster,A2XGWEDN3V7PY9,0/0,5.0,1283644800,This game is alot of fun. It may take a game or 2 to get the basics down but it is totally worth any effort you put into it. I really enjoy it.,toys games,games,board games,33,toys games,True
2916,B0002L58CW,Pampers Cruisers Diapers,A3HFC9IH0C221B,0/0,5.0,1093305600,"I've been using Pamper's Cruisers for my son since he was 6 months. They have never leaked, and fit him comfortably. The stretchy sides are great when he blows out his stomach which makes it impossible to get a tight fit in other diapers.",baby products,diapering,disposable diapers,44,baby products,True
10868,B00016QUMA,Calming Shampoo/Body Wash from California Baby [17.5 oz.],AQXWUAW8SNHMO,0/0,4.0,1190505600,"I love this soap when compared to others like J&J it offers a far more safe and effective way to keep your baby clean and fresh. IT does cost a little more, but I prefer to pay a little extra and keep all the added perfumes and chemicals away from my baby. I recommend this product! I only give it 4 stars because I think it could be a little less expensive.",baby products,bathing skin care,soaps cleansers,72,beauty,False
24170,B000JOE224,"Greenies Pill Pockets for Cats, 1.6-Ounce",A2J1BJ8RYATNO4,0/0,5.0,1280188800,"The cat takes his pills willingly. Since he has no teeth, I use only 1/2 a pocket per pill and form it around the pill. They are soft so this works fine. With the free shipping, the price here is less than the local pet shop.",pet supplies,cats,treats,46,pet supplies,True
18322,B000068PBT,Philips Norelco HQ8 Spectra Tripleheader Replacement Heads,A2XSWCW099J942,0/0,4.0,1240963200,I don't know whether it's the shaver or the heads but the closeness of the shave is not as good as originally. Last set of heads lasted for almost 2 years so no issue with that.,health personal care,personal care,shaving hair removal,36,health personal care,True
139,B000Q9KOIS,"Balance Bar Nutrition Energy Bar, 1.76-Ounce Bars (Pack of 15)",unknown,0/1,3.0,949190400,"The Almond Brownie bar was OK. The taste was just as good as any other power-type bar that I've tried. But it wasn't something that I'd crave. I expected it to provide me with more energy, kind of like taking a vitamin. Perhaps not that day, but the next. To be honest, I didn't notice much difference in my level of energy. With the price that they charge for purchasing a power bar, I don't think I'd recommend it to friends and family. I do think that I may purchase them again for myself though.",health personal care,nutrition wellness,nutrition bars drinks,95,grocery gourmet food,False
12106,B0000C1I9A,Astroglide Sensual Strawberry Personal Lubricant,A2IIHZ4YNPU8D,11/12,5.0,1199232000,"And that is a pretty intoxicating aroma. This is probably the best lubricant on the market, pleasant to the touch, smell AND taste. A bit more expensive, but if you shop around, you can find deep discounts.",health personal care,sexual wellness,safer sex,37,grocery gourmet food,False
1833,B000056OV3,Playtex Diaper Genie - First Refill Included,AHXVI2A0Y9PE0,1/1,5.0,1068163200,"I recieved this as a gift at my baby shower, and I LOVE it! The bag is scented, but it's not to overpowering, my mom, and mother in law would have said so. I've never had it smell, and it's so easy to use!!! We give it an A+",baby products,diapering,diaper pails refills,49,baby products,True
31994,B00078ZHPS,Basic Comfort Ultra Plush Changing Pad Cover,AUF8Q531DBW9C,0/0,4.0,1315612800,"I ordered this product after being disappointed with another changing pad cover. I LOVE this one, it's so soft. The fabric is very thick so it will withstand many washes.",baby products,diapering,changing table pads covers,30,pet supplies,False
7652,B000BDAZ38,Cars Piston Cup Track Set,A38M3QEVSPDUY,14/15,1.0,1167177600,"We had the same experience. The motor drive quit working after a couple of cars went through. As an engineer, I wanted to see if it was easy to fix it for my 6 and 4 year old grandsons. I took the screws off the bottom of the drive unit and found that the motor was working but that the large drive gear on the motor side had come un-snapped from the rubber drive wheel. After putting it back together and having the same problem I noticed that the four posts on the rubber drive roller that go up into the large gear will just come out of the slots in the gear because the slots in the gear are oversized. I put small wood wedges in the slots to hold the posts in place and then put ""Gorilla Glue"" on each one to hold the posts in place on the gear. It has held up through 3 days of hard use. The posts on the opposite gear had been glued to the gear at the factory--and the slots are just big enough to snap over the posts without the posts coming off. This is not something that anyone should have to do but it beats no track or the hassle of a return.",toys games,vehicles remote control,vehicle playsets,214,pet supplies,False
9260,B000LJDLKG,"Litter Robot LRII Automatic Self-Cleaning Litter Box, Beige",A16WMQHQ6V3Y37,14/27,2.0,1176854400,"I was so excited to get this item after reading the other reviews. I was impressed when I did receive it, the quality is very good and it works great. I followed the directions exactly for getting my two cats used to this new box. However, ater two weeks of trying, they just refuse to use it and have found a corner to use instead....uggghhhh!!!!! I think it is just to small inside and they are not overly large cats nor are they timid in any way. Lots of money for something that should be more accomadating. So, very disappointed that this did not work for me. I hope you consider my experience before buying one.",pet supplies,cats,litter housebreaking,116,pet supplies,True
19424,B0009YJ4CW,Everlasting Treat Ball,A1Y1L56592H2ZX,0/0,4.0,1249776000,"I ordered the small and my little maltese loves it! She licks it, carries it around, bounces it, etc. But the other dog tried to get the treat out and when she couldn't (and she's pretty tough)-- she lost interest.I'm leaving off a star because I think the price point is too high. I've had just as much success entertaining and stimulating my dogs with other treat balls...like the Omega orange ball. That one can be filled with a treat(food) of your choice and you're not bound to buy one specific filler.",pet supplies,dogs,treats,92,pet supplies,True
3745,B000CCYCDC,Barbie Make-Up Set,unknown,8/32,1.0,1109116800,"Barbie Fashion Makeup Playset with Face Makeup, Purse, and Manicure and Pedicure Kit is a piece of junk. it is soo ugly and stupid and doesn't work. i hate it. mattel sucks",toys games,dolls accessories,dolls,32,beauty,False
13030,B000J4IDO2,"Coffee People Black Tiger Dark Roast, K-Cup for Keurig Brewers",A1MPIMXK8052ND,0/0,5.0,1204416000,"Most Keurig coffees come out weak, but this one is nice and strong. Not too strong, just about right. I use each pod twice to make a larger cup and this one works great for that.",grocery gourmet food,beverages,coffee,36,grocery gourmet food,True
9986,B000F3VE6G,"Clemastine, 1.34mg 100 pills per bottle [Health and Beauty]",A3I54L9EDLGKS4,4/7,1.0,1183075200,"I ordered two bottles, and they mixed up my order and sent me one bottle of Clemastine and one bottle of something else. I had to ship back the wrong bottle and call customer service to send me another one. I never got the 2nd bottle of Clemastine.",health personal care,health care,allergy,48,grocery gourmet food,False
2224,B00005BX4W,Baby In Sight Mirror,A2SLNJTT9SH2JE,0/0,4.0,1076716800,"We have 2 of these mirrors, one in my sedan and one in my husbands SUV. It is great in my car, and we have had no problems. It is a nice big mirror and I can see my daughter very well, without it blocking my rear window. The SUV is a different story. Since the car seat is in the middle, there is no head rest to attach it to, and so we have is all rigged up with bungie cords to keep is secure. Even so, it is still better than the other mirror we tried initially.",baby products,car seats accessories,accessories,99,baby products,True
27615,B00027BQQ8,J.R. Watkins,A1GM05FWWWFYUK,1/1,5.0,1296777600,I had never used Watkins ointment but had a friend who has raved about it for years. For dry and chapped lips I normally use Neosporin lip treatment or Carmex but lately neither item worked. Just recently my lips became so chapped and dry that they actually hurt and I had some serious dryness around my mouth. My friend suggested I get some Watkins. I went online to order it from Amazon but knew that would take at least 2 days since I was out of town. I found out this was sold at Cracker Barrel restaurants. I bought it and applied it before I went to bed and by morning I could tell the difference. My lips cleared up within 2 days. I also applied this ointment to a cut and it definitely soothes the soreness. I have 2 large tins for my home and office and a small tin for my purse. I am definitely a believer in this product.,health personal care,health care,cough cold,162,beauty,False
5186,B000059EI3,Little Tikes Police Cycle Sounds Rocker,AT4C46QVHKKLT,2/3,4.0,1131235200,"My son has had this toy for over a year but has not used it much. I don't think anything is wrong with it, perhaps my son simply does not like it a whole lot.When he does use it, he has a lot of fun rocking and pushing the buttons for the sirens.It is a bit noisy and there is no volume control. That would be the biggest drawback to this.",toys games,baby toddler toys,rocking spring ride ons,71,toys games,True
8253,B00009XNSY,Learning Resources Pretend & Play Doctor Set,A2FHA0OCJXKR64,2/2,5.0,1168819200,"I got the Pretend and Play Doctor Set for my 8 yr. old grandson for Christmas, and I think that it was one of his ""top"" gifts to receive.Other doctor sets at different stores were ""too young"" for him. This set was perfect. More ""grown-up"" in his eyes. Needless to say,Granny was a hit at Christmas. Thank You so much.",toys games,dress up pretend play,pretend play,60,toys games,True
23256,B000FEH8NI,Pure Organic Raw Fruit & Nut Bars (Pack of 12),A156P4FPL8OGXB,0/0,4.0,1274054400,"Forget all those sugar-laden, chocolate coated granola and snack bars. The Pure bar is exactly what it says it is - pure fruit and nuts in a tasty bar that's perfect as an addition to lunch or for an on-the-go snack.There's no added sugar, or sodium in this bar. No cholesterol. Gluten-free. It's certified organic. It's a snack you can feel good about putting in your child's lunchbag.The blueberry bar had a good raw flavor - predominantly nuts (almonds, cashews and walnuts) - with the taste of wild blueberries. This healthy treat is one you don't have to feel guilty indulging in.",grocery gourmet food,breakfast foods,breakfast cereal bars,102,grocery gourmet food,True
31282,B000GIQS34,Optimum Nutrition Creatine Powder,A1A5WU7P3HDNWL,0/0,5.0,1312761600,I have tries several different brands of Creatine proucts and this is the cleanest tasting I have tried. Many other proucts have excessive sugars and flavors that try to cover up the taste of an inferior creatine. This product is great,health personal care,nutrition wellness,sports supplements,41,grocery gourmet food,False
30697,B000FW4BGM,Dr. Natura Colonix Advanced Internal Cleansing Program,A2A789416NWHTO,1/2,4.0,1310342400,"The support at the 800 number given on product is wonderful, I called at least three times and each time I was able to speak with a live person, can you believe that! I've had problems all my life, even from birth, with constipation problems, only going once a week with a laxative. Since being on this program, I I have a bowel movement at least once a day, and after moving to day 6 of the program, you're directed to increase the product, and to start drinking the tea every other night, instead of everynight. On the nights I drink the tea, the next day I have a bowel movement at least 2 to 3 times a day. but on the night I don't take the tea, I don't have a bowel movement the next day at all. But every other day, sure beats once a week, any day!!!",health personal care,nutrition wellness,vitamins supplements,150,baby products,False
32738,B000LEEYWK,Underground Wire Splice,A3V4COFT2EMENU,2/2,5.0,1318636800,"These clips really work well, just strip the wire, insert the ends and press. No tools required! The only thing better would be if the clip penetrated the insulation so that stripping wasn't required - I tried this but didn't work. Can't have everything I guess!",pet supplies,dogs,training behavior aids,46,baby products,False
3268,B0002D0FDW,Incrediblock,A32104NJMRUP6D,19/19,4.0,1101513600,I rate this as a good toy overall because I have only found one thing with it I don't like...the motor is a little noisey..I had read other reviews on this toy saying the same thing..my daughter just turned 1 on Nov. 22 and she got this for a gift..she loved it from the moment we brought it into her sight..She loves to stand at it and knock the blocks off of it over and over again..she has probably over 50 blocks now and beleive it or not it holds everyone of them....good storage too..they all are in one spot for easy access for her..I give it five stars for fun because I even like getting down and playing with her..Educational value is great too because they learn to stack the blocks good eye hand cordination skills are learned through this...Durability is a five because my daughter loves to climb..she is a bit on the small size in weight but she has been walking and climbing on things since she was 10 1/2 months old and she can't seem to destroy this toy yet...I would buy this for any friend who had a child.,toys games,baby toddler toys,unknown,194,toys games,True
6752,B00005JIVI,"Leachco Safer Bather Infant Bath Pad, Blue Fish",A11RIEKZU1N2AI,0/0,5.0,1153008000,"I absolutely love this item. I read many reviews about it before purchasing it and am very pleased with my purchase. It's very easy to use, dries pretty quickly (if squeezed out and hung), and supports my son completely.",baby products,bathing skin care,bathing tubs seats,39,baby products,True
38517,B00021WOGU,Jovan White Musk Perfume by Coty for women Personal Fragrances,A14QOO2H6RBTJC,2/2,5.0,1338854400,"This is one of my favorite perfumes, and for the price, you can't beat it. It smells fantastic (it's floral, but not headache inducing) and it lasts many hours on my skin.",beauty,fragrance,women s,32,beauty,True
39486,B0009N0ZTO,Swiss Army Eau de Toilette for Men by Swiss Army,A2GPSM69VEL2NP,0/0,4.0,1342310400,The form of presentation of theproduct is not shown in the pictureThe fragrance it is exquisite and it is smells very masculine.The package of delivery it is ideal size.My rating is four stars is:1-Product Quality2-Shipping costs.3-Time Delivery.Thanks.,beauty,fragrance,men s,37,pet supplies,False
20855,B000MUZA1W,Buxom Big & Healthy Lip Polish from Bare Escentuals,AUQ9WJPEXGB95,6/6,5.0,1260144000,"First of all, I am not even a lipstick or gloss wearer. I got this product in a kit from Bare Minerals and thought I would try it. It tingles and really plumps up my thin lips. Color is great and shiny, and it smells really good. Get one, you won't be disappointed.",beauty,makeup,lips,53,beauty,True
18124,B000FT7NSI,DaVinci Kalani 4-in-1 Convertible Crib with Toddler Rail,A28UTQ9NMB2EFD,8/11,2.0,1239580800,"The crib is fairly nice and fits together very well, but I had a few issues with this bed. First the finish is not a true espresso finish. Not compared to our other furniture that is espresso finish. Second the hardware that holds the mattress is very noticeable after the crib was assembled. Big metal brackets are attached to the sides of the front legs and sticks out like a sore thumb.",baby products,nursery,furniture,72,baby products,True
27903,B000B641O4,Casmir by Chopard for Women,AN7HVCB276DAG,0/2,1.0,1297987200,"I was so happy when I got the parcel, but when I opened it and sniffed This, I thought it was some kind of joke. I could not believe it's the smell of perfume! what woman would use it ????? even my grandma said that stinky perfume, and that the water from her toilet smells better!I have wasted my money.....",health personal care,personal care,deodorants antiperspirants,60,pet supplies,False
99,B00000IT8U,Barbie&Kelly Giggles' n Swing Set (2 doll set with swing),unknown,4/4,3.0,946512000,"I got this Barbie/Kelly set for my daughter, who turned 6 and HAD to have it. We were both disappointed that the &quot;giggling&quot; and other things that Kelly says, comes from BARBIE. There is a button on Barbie's back that you push, and Kelly's dialog comes from her. It just seemed weird! It would have made much more sense to put the sounds on the swingset itself.The swingset is nice. It comes apart easily, which might be troublesome, unless you opt to glue it with something like Krazy Glue gel (which glues anything).",toys games,dolls accessories,playsets,93,toys games,True
8692,B0002L58D6,Pampers Cruisers Diapers,A1225PGJZSUA5S,1/1,5.0,1172102400,"We have used pampers cruisers for both of our girls and they have the best price/performance ratio of any we have found. Amazon's free shipping is a plus, since it is a bear to go out in the winter sometimes for a diaper run.",baby products,diapering,disposable diapers,44,baby products,True
31072,B000P5H6F2,"ADC EKG Caliper electrocardiograph Latex-Free 4 3/4""",A1QZYN0R0NGAPH,0/0,5.0,1311811200,"Sturdy construction, comes with a hard black plastic sheath that includes centimeter markings. Simple device, reasonable price, and has been a useful tool on my medicine rotation.",health personal care,medical supplies equipment,health monitors,27,pet supplies,False
5094,B00083HIW2,Videonow XP Blue Player,unknown,7/10,5.0,1129939200,this videonow xp is the best toy ever I just got it yesterday and I love it so so much I don't even watch tv any more,toys games,electronics for kids,personal video players accessories,27,toys games,True
34223,B000P91E4C,SE Small Pill/ID Holder Keychain (Set of 6),A262XCRSU4FMH7,0/0,4.0,1323993600,"I was planning to use these two ways; as a key chain pill holder, and as a tag holder for my cats. After seeing all the reviews about how small it was i thought it would be perfect for cat tags. I have small pills that will easily fit inside, but they are a bit large for my cats. I am still debating whether or not i will be returning them. However i rated them as 4 stars because they are exactly as advertized. I wish there were more pictures and measurements though.",health personal care,health care,pill cases splitters,93,pet supplies,False
8991,B000HZU526,Pretzel Pete Gourmet Pretzel Nuggets,A2DHG1HP5MCGMI,0/0,5.0,1174435200,Just received my order today and the kids I dove into them!! Really HOT...but not deadly!And the pretzel....fabulous! Nubs that are crispy tender...they DO NOT BREAK your teeth! I would highly recommend these as a great natural treat.,grocery gourmet food,snack food,pretzels,38,grocery gourmet food,True
38980,B000P9BTCY,"Still Point Inducer Original - Solid Red Foam - Help Relieve Congestion, Headaches, Anxiety, and Overall Tension",AXDUGRPAIDGRT,1/1,3.0,1340582400,I don't want to dismiss the value of this product. I have pretty severe neck issues from 2 car accidents. I would say it is moderately helpful for this type of pain.,health personal care,health care,alternative medicine,32,health personal care,True
37180,B000FJ4A9S,Quick Chess,AMS1ZUWHNXOZ2,0/0,5.0,1333411200,My son (5) and I learned to play chess together with this game. I like how it starts you out learning the moves of one piece at a time. The game didn't seem nearly as complicated when learning this way. We were quickly up to speed and playing the full game.,toys games,games,board games,51,toys games,True
11564,B000PE8KL2,Avon GLAZEWEAR Liquid Lip Color,AZAZXX99CJJ5A,5/5,4.0,1196380800,"I just bought my first Glazewear lipgloss in Mirage. It's a shimmery beige shade with some sparkle in it. Don't worry, you don't even notice that once it's on. It's great because unlike some of the pinkier shades, this one is very natural. It's not at all frosty, and it glides on very smoothly. I feel more dressed up with it on. It's shiny, has staying power (but not through a full meal), and a great deal when it's on sale. Overall a good quality product. I want to get more and wear them all the time.",beauty,makeup,lips,97,health personal care,False
34549,B000EQN2IC,"PAIR of Thermoskin Carpal Tunnel Braces with Dorsal Stay, Black , Left & Right",A12ROT5171NX4R,0/1,5.0,1324944000,"This pair of braces greatly reduces the pain in my wrists and the numbness in my hands. It is no panacea but it is close. The only complaint I could have is that the Velcro is very strong and it can therefore be difficult to remove quickly. However, this is a minor complaint. This is my second pair.",health personal care,medical supplies equipment,braces,58,health personal care,True
12256,B000084F3O,Natural Balance Original Ultra Ultra Premium Formula - 24 x 6 oz,ADRUSRDVNWNE6,2/2,5.0,1199750400,"I have never purchased this brand before. As soon as I opened a can of it, my cats went for it right away. I am truly amazed as they tend to be very picky eaters.",pet supplies,cats,food,35,pet supplies,True
17766,B000F3Q0QK,"Fischer & Wieser Razzpotle Roasted Raspberry Chipotle Sauce, 20-Ounce Bottles (Pack of 6)",A101C99CG8EFUH,0/0,3.0,1237420800,"Good flavor - sweet and hot and smokey. It is certainly made from real raspberries, as there are a TON of seeds in this, almost enough to detract from my enjoyment of it.I like it as a dipping sauce for roast or grilled pork or chicken - especially left over cold meat.",grocery gourmet food,pantry staples,sauces,52,grocery gourmet food,True
13381,B000NZV88U,Playhut Diego Jeep Vehicle,A3M7DE9AC644HM,0/0,3.0,1207440000,"This tent-type toy is about as durable as can be expected when two young children both want to play in it at the same time. It is easy to set up, but it's also easy to collapse when children are in it. I'd still recommend it.",toys games,sports outdoor play,sports,46,toys games,True
23972,B0002ZOI9W,Fisher-Price Infant-To-Toddler Rocker,A16L72HY48ZZ18,0/0,5.0,1279065600,"I have purchased two of thes Infant to Toddler Rockers for first time grandparents. They both loved the features, bright colors and versatility. I thought the price was very fair for this product.",baby products,gear,swings,33,toys games,False
9881,B000GG193K,"Nexxus Headress Thickening Leave-In Volumizer Conditioner, Packaging May Vary, 13.5-Ounce Bottle",A3DM2OAXKQR6U4,30/33,5.0,1181952000,"My nearly 40 year old head of hair has been getting drier and coarser at the ends every year despite regular trims, expensive salon shampoos and conditioners, and no chemical treatments. I've tried a plethora of products and found a few that keep it tolerably attractive, but THIS is the first one that really took it all the way to silky. It looks so very good now.",beauty,hair care,conditioners,67,beauty,True
25890,B000C1UF02,Geparlys World Extension Eau de Toilette Spray,A173SSDJH671OT,2/2,5.0,1289606400,"This is a fantastic spray that is not available everywhere. The smell and the exclusivity is what first drew me to the spray. This vendor is fantastic to work with the shipping and pricing was the best, I should know I checked many sites before ordering.. If you want people to ask ""what are you wearing and where did you get it?""this is it...Thanks M.",beauty,fragrance,men s,65,beauty,True
30723,B000GHWSG6,Euphoria Perfume For Women by Calvin Klein,A3VG9FI23G8QVU,0/0,4.0,1310428800,"This was a great buy! Shipped quickly, no hassels, and perfume smells amazing. I couldn`t imagine spending $75.00 at the department store, when I can get the exact same thing for less than half the price!No regrets here.",beauty,fragrance,women s,38,beauty,True
20460,B000PX0DNG,VTech - V.Smile Pocket Learning System,A22WQ634GFMOXV,0/0,5.0,1257379200,"My daughter was jumping up and down over this toy. She was counting, adding, using language skills and smiling the whole time. I literally had to pry it from her hands several nights when she fell asleep playing it. This is also a very good car ride toy. Parts are easy to keep track of and give hours of quiet play. No more ""Are we there yet?"" every 10 minutes, only every couple hours.",toys games,electronics for kids,systems accessories,74,toys games,True
39824,B0008E8IQG,Elastic Shoe Laces,A1GCBDKC7T9Q2V,1/1,4.0,1343520000,My mom has Parkinson and these make her life much easier as she can't tie her sneakers anymore. She has worn only sneakers for years so these made her pretty happy.,health personal care,medical supplies equipment,daily living aids,31,baby products,False
8929,B00020L6UQ,Bundle Me Lite - Graphite,AKKUKGY3V2ORK,0/0,5.0,1173916800,"I wish I had this product for my first child, but when someone lent it to me for my second, I was hooked! It is so practical and convenient, not to have your baby bundled in bulky outerwear...a light sweater will suffice once they are in a bundle me. I have purchased 4 bundle me's as gifts for friends and family. They all agree, that you just cant live without one. The Bundle Me regular one is a must-have for harsh winters (We are in New England), but the Lite is great for Spring-Fall or for places with milder winters. It is so easy to put on your infant carrier, plus you can also use it in your stroller. It washes easily in the washing machine, and keeps its nice soft texture after the dryer. Get one, you wont regret it!",baby products,car seats accessories,accessories,141,baby products,True
15894,B00006408Q,ThinkFun Zingo,AYO1Z93KDFGVX,4/4,5.0,1226361600,"When I called my sister to see how her son (5 years old) liked this gift, she laughed. Apparently he burst into tears upon first seeing it because it wasn't another super hero action figure. She sat down with him and his older brother (6 years old) and they played a round and they've been playing it daily ever since. She also mentioned that her 5-year-old tends to be a bit of a sore loser and this game has helped her to help him overcome that tendency.",toys games,electronics for kids,electronic toys,87,toys games,True
27268,B000JKGG2W,Knitting,A69Q0UKFZ6NGP,10/10,5.0,1295308800,Gave this as a gift to someone(13) whom I did not know how she would react. During Christmas chaos went to a quiet corner and was knitting right off the bat. Great instructions and guidelines.,toys games,arts crafts,craft kits,35,toys games,True
34713,B0001MYNLY,Lentek Bark Free Dog Training Device,AIEII9ZBADSC,0/0,1.0,1325289600,"This didn't impact our dogs barking at all. We have 3 off them (1 determined bark, and one non barker). It didn't stop any of them.",pet supplies,dogs,training behavior aids,26,pet supplies,True
19094,B000930D82,Chicco Chicco Night Light Soother,A3GJX59C7JB1K7,1/1,3.0,1246752000,"We got this for our daughter when she was 1 month old. She loves it, and will happily fall asleep watching it. When she wakes in the night, it soothes her back to sleep. HOWEVER, the main reason I chose this over other soothers was the voice record function, and the ads failed to mention that it only records for 20 seconds. That's not even enough time for ""Twinkle, twinkle"" let alone a personalized lullaby.",toys games,baby toddler toys,music sound,75,toys games,True
24693,B000HIP352,"Aquatopia Deluxe Safety Easy Bath Kneeler, Blue",A3T64GA0EE2DNA,1/1,5.0,1283126400,This simple little bath mat is a knee saver. I can spend alot more time and be alot closer wtih my little ones while giving them a bath. Money worth spent.,baby products,bathing skin care,non slip bath mats,31,baby products,True
15044,B000639LA6,Spin 'N Pop Arcade,A1N0V1R2SXTGRA,0/0,5.0,1219968000,It's really not much of a toy but my kids have had a lot of fun with it. I personally would've liked more ways to manipulate/whack the ball. The kids like to put other small toys on it instead of balls and watch them get spun around. It will definitely be worth the money but don't expect them to play with it like they were meant to. They probably won't use the little hill the balls roll down and they won't put a ball behind the the 1 door and let it out. It is noisy but I put a big piece of tape over the speaker hole and that made it a little better to tolerate.,toys games,baby toddler toys,unknown,117,toys games,True
23486,B000IZ9N78,"8"" LumiStick Brand Glowsticks Glow Stick Bracelets Mixed Colors (Tube of 100)",A2T32ELIEEAAW,0/0,4.0,1275696000,"I was a bit worried when I first ordered it seeing some of the negative reviews that I would also get a bad batch, but mine came fully in tact and so far all of the ones that my friends and I have cracked have glowed brightly! The shipment came in a neat cylindrical tube with bubble wrap since they are fragile things. Without the tube my friends gently set them down in her drawer and one or two already cracked!At first I thought there were only 4 colors since we had not encountered the orange one after going through 10-15, but the orange and pink glow sticks pre-cracking are VERY similar in color so it is somewhat hard to tell them apart. They all glow pretty brightly especially the yellow one, but I am not so sure if I can attest to them glowing brightly for 8-10 hours but it would be hard to tell in the light I suppose. I also noticed that there was a slight fluctuation of price from when I ordered it it was around $11 and now it's dropped to $8, not really too big of a difference considering the quantity.Anyway besides those little tidbits, I must say we had a lot of fun with these glow sticks and I definitely would order from this company again especially if we were planning to have a rave party! Oh plus if you get them a really fun thing is to take some very interesting pictures with them in the dark with long exposure times :).",toys games,electronics for kids,unknown,260,pet supplies,False
